Año,Provincia,ADSL,Cablemodem,Fibra óptica,Wireless,Otros
2016,Catamarca,98.91,0.92,0.05,0.0,0.11
2016,Chaco,63.37,36.29,0.26,0.04,0.04
2016,Chubut,68.89,1.41,1.43,20.77,7.5
2016,Corrientes,63.59,34.58,0.24,1.55,0.04
2016,Córdoba,54.9,43.77,0.33,0.9,0.11
2016,Entre Ríos,62.67,33.55,0.1,3.6,0.07
2016,Formosa,77.09,20.15,0.03,2.68,0.04
2016,Jujuy,81.21,18.66,0.05,0.0,0.08
2016,La Pampa,18.42,64.88,6.93,9.0,0.77
2016,La Rioja,99.74,0.0,0.09,0.01,0.16
2016,Mendoza,89.78,7.63,1.51,0.02,1.06
2016,Misiones,61.66,38.24,0.08,0.01,0.01
2016,Neuquén,46.9,38.44,0.99,11.17,2.49
2016,Río Negro,66.58,27.92,0.94,3.28,1.29
2016,Salta,75.5,23.75,0.08,0.14,0.53
2016,San Juan,93.64,0.87,1.48,2.26,1.74
2016,San Luis,86.14,8.17,2.67,0.2,2.83
2016,Santa Cruz,59.23,10.35,2.53,18.91,8.98
2016,Santa Fe,59.5,38.87,0.54,0.86,0.23
2016,Santiago Del Estero,87.27,10.73,0.05,1.88,0.07
2016,Tierra Del Fuego,71.67,18.78,2.11,0.0,7.44
2016,Tucumán,97.61,2.25,0.08,0.03,0.03
2017,Buenos Aires,43.71,50.29,3.95,1.1,0.95
2017,Capital Federal,35.74,61.01,2.38,0.19,0.68
2017,Catamarca,91.66,4.46,0.04,0.0,3.83
2017,Chaco,59.13,39.7,0.42,0.14,0.61
2017,Chubut,65.84,7.48,1.39,17.7,7.59
2017,Corrientes,61.17,36.68,0.64,1.47,0.03
2017,Córdoba,50.7,45.87,1.21,1.16,1.06
2017,Entre Ríos,58.25,37.19,0.56,3.96,0.04
2017,Formosa,73.48,21.33,0.39,4.73,0.07
2017,Jujuy,78.34,21.52,0.05,0.03,0.06
2017,La Pampa,15.55,63.8,7.76,11.29,1.6
2017,La Rioja,48.29,51.21,0.04,0.37,0.08
2017,Mendoza,85.92,10.64,1.53,0.88,1.03
2017,Misiones,56.46,43.41,0.1,0.0,0.02
2017,Neuquén,42.6,44.03,0.93,10.14,2.31
2017,Río Negro,64.76,28.18,1.02,3.27,2.77
2017,Salta,66.77,32.16,0.1,0.13,0.84
2017,San Juan,91.59,2.86,1.41,2.42,1.72
2017,San Luis,71.75,17.29,2.2,0.15,8.61
2017,Santa Cruz,59.17,10.86,4.11,16.08,9.78
2017,Santa Fe,53.63,42.14,0.95,1.05,2.24
2017,Santiago Del Estero,51.53,46.65,0.03,1.71,0.08
2017,Tierra Del Fuego,68.75,22.11,1.98,0.0,7.17
2017,Tucumán,96.28,3.51,0.07,0.03,0.11
2018,Buenos Aires,39.68,52.6,5.13,1.85,0.74
2018,Capital Federal,24.56,72.05,2.54,0.27,0.59
2018,Catamarca,80.39,13.04,0.04,0.0,6.52
2018,Chaco,53.98,41.63,1.22,2.05,1.13
2018,Chubut,55.49,22.39,1.21,14.8,6.1
2018,Corrientes,57.53,40.43,0.53,1.47,0.03
2018,Córdoba,47.09,46.8,2.09,2.44,1.57
2018,Entre Ríos,50.52,39.57,1.63,6.51,1.77
2018,Formosa,55.4,17.89,1.04,25.52,0.14
2018,Jujuy,59.68,19.88,0.1,0.87,19.47
2018,La Pampa,16.28,64.23,8.35,9.67,1.47
2018,La Rioja,32.05,67.37,0.02,0.49,0.07
2018,Mendoza,74.26,18.91,2.16,3.8,0.87
2018,Misiones,51.92,45.91,0.42,0.28,1.47
2018,Neuquén,38.87,46.83,1.31,10.7,2.28
2018,Río Negro,60.48,29.16,1.11,4.79,4.45
2018,Salta,57.82,40.49,0.39,0.17,1.13
2018,San Juan,84.11,8.58,1.29,4.31,1.71
2018,San Luis,20.79,14.43,0.69,49.62,14.47
2018,Santa Cruz,52.12,14.22,2.63,20.45,10.59
2018,Santa Fe,48.72,44.62,1.73,2.25,2.68
2018,Santiago Del Estero,30.38,67.34,0.03,2.16,0.09
2018,Tierra Del Fuego,46.33,46.64,2.49,0.0,4.54
2018,Tucumán,93.86,5.7,0.07,0.23,0.15
2019,Buenos Aires,30.08,55.33,11.9,2.05,0.65
2019,Capital Federal,20.22,75.99,2.29,0.28,1.22
2019,Catamarca,72.44,13.66,6.92,0.47,6.51
2019,Chaco,45.7,43.56,5.18,4.23,1.33
2019,Chubut,45.1,29.36,2.01,16.83,6.7
2019,Corrientes,48.92,43.79,1.64,2.02,3.64
2019,Córdoba,39.97,50.22,4.06,4.29,1.45
2019,Entre Ríos,40.83,39.86,5.42,7.48,6.41
2019,Formosa,47.62,18.22,3.01,30.84,0.3
2019,Jujuy,37.56,33.09,0.45,0.87,28.03
2019,La Pampa,20.31,60.81,4.9,11.82,2.17
2019,La Rioja,29.66,69.75,0.02,0.5,0.08
2019,Mendoza,64.56,23.59,5.28,5.92,0.64
2019,Misiones,41.48,49.31,0.51,0.32,8.37
2019,Neuquén,32.83,49.27,5.05,11.07,1.77
2019,Río Negro,47.72,27.49,5.16,8.0,11.62
2019,Salta,45.17,44.9,3.98,1.16,4.8
2019,San Juan,72.58,9.99,3.01,7.5,6.92
2019,San Luis,9.86,8.25,0.24,51.26,30.39
2019,Santa Cruz,34.08,36.02,2.08,19.86,7.97
2019,Santa Fe,43.08,48.33,2.66,3.2,2.74
2019,Santiago Del Estero,21.83,59.29,0.15,2.47,16.27
2019,Tierra Del Fuego,39.71,56.08,1.6,0.0,2.61
2019,Tucumán,87.04,6.68,5.69,0.4,0.19
2020,Buenos Aires,16.98,60.04,19.4,2.36,1.22
2020,Capital Federal,12.75,81.92,2.89,0.3,2.13
2020,Catamarca,54.05,8.21,32.46,0.58,4.69
2020,Chaco,35.14,44.14,14.11,5.25,1.35
2020,Chubut,39.27,31.05,1.84,17.41,10.42
2020,Corrientes,42.2,47.51,2.37,3.63,4.29
2020,Córdoba,32.56,49.48,11.18,5.48,1.29
2020,Entre Ríos,37.0,43.51,5.95,8.31,5.22
2020,Formosa,44.34,20.14,4.19,30.75,0.57
2020,Jujuy,32.68,47.26,8.75,0.98,10.32
2020,La Pampa,9.5,60.59,15.73,12.63,1.55
2020,La Rioja,31.48,67.97,0.0,0.49,0.06
2020,Mendoza,45.5,30.48,15.67,7.95,0.4
2020,Misiones,35.78,53.49,2.3,2.05,6.38
2020,Neuquén,23.57,53.89,9.18,12.73,0.63
2020,Río Negro,37.1,30.31,9.27,9.41,13.91
2020,Salta,32.78,45.96,14.43,2.91,3.92
2020,San Juan,56.47,10.9,8.14,13.59,10.89
2020,San Luis,7.28,8.21,0.01,53.0,31.5
2020,Santa Cruz,32.28,42.86,2.61,15.86,6.39
2020,Santa Fe,37.34,49.98,6.0,4.31,2.37
2020,Santiago Del Estero,24.7,67.5,0.4,3.61,3.79
2020,Tierra Del Fuego,32.7,66.51,0.0,0.0,0.79
2020,Tucumán,67.9,4.96,26.12,0.73,0.3
2021,Buenos Aires,13.24,60.51,22.05,2.71,1.49
2021,Capital Federal,10.04,84.16,3.29,0.41,2.1
2021,Catamarca,36.5,17.66,39.65,2.17,4.01
2021,Chaco,27.8,44.5,20.44,5.68,1.58
2021,Chubut,32.38,33.28,4.78,16.81,12.75
2021,Corrientes,34.83,51.48,4.71,4.95,4.03
2021,Córdoba,24.94,49.72,17.78,6.07,1.5
2021,Entre Ríos,29.61,48.84,7.6,9.0,4.96
2021,Formosa,36.2,25.46,7.69,30.22,0.43
2021,Jujuy,23.0,52.84,18.11,2.52,3.53
2021,La Pampa,8.74,57.58,17.63,14.75,1.3
2021,La Rioja,16.93,66.99,9.46,6.58,0.04
2021,Mendoza,34.43,29.1,27.11,8.91,0.45
2021,Misiones,28.06,55.37,7.94,3.93,4.69
2021,Neuquén,21.32,51.85,12.44,13.92,0.48
2021,Río Negro,32.03,29.98,14.99,10.39,12.61
2021,Salta,26.13,49.5,17.98,2.97,3.43
2021,San Juan,49.29,15.79,9.82,14.42,10.69
2021,San Luis,7.04,9.39,0.02,56.43,27.12
2021,Santa Cruz,24.85,47.75,14.89,8.91,3.61
2021,Santa Fe,30.02,51.59,11.37,5.04,1.98
2021,Santiago Del Estero,18.85,72.58,0.76,4.95,2.85
2021,Tierra Del Fuego,29.03,69.87,0.25,0.09,0.76
2021,Tucumán,49.14,18.53,31.13,0.92,0.29
2022,Buenos Aires,7.52,58.51,29.76,2.72,1.5
2022,Capital Federal,8.71,81.4,7.46,0.36,2.07
2022,Catamarca,16.66,17.16,60.89,1.98,3.31
2022,Chaco,19.76,43.25,29.68,5.64,1.68
2022,Chubut,26.96,42.16,5.7,18.07,7.11
2022,Corrientes,25.43,53.12,12.66,5.17,3.63
2022,Córdoba,16.77,45.93,30.37,5.94,0.99
2022,Entre Ríos,22.91,50.01,12.69,9.72,4.67
2022,Formosa,23.73,33.37,15.5,27.06,0.34
2022,Jujuy,16.8,47.02,30.48,3.57,2.13
2022,La Pampa,6.95,52.91,20.56,17.79,1.79
2022,La Rioja,8.68,64.1,19.73,7.45,0.04
2022,Mendoza,14.29,27.13,48.26,9.61,0.71
2022,Misiones,20.18,49.69,20.14,5.71,4.28
2022,Neuquén,18.29,46.71,17.95,16.03,1.02
2022,Río Negro,22.56,29.55,25.63,10.41,11.85
2022,Salta,20.26,47.94,23.65,4.68,3.47
2022,San Juan,37.83,20.17,12.24,21.82,7.95
2022,San Luis,5.61,22.68,0.79,59.05,11.87
2022,Santa Cruz,20.49,48.01,22.53,7.83,1.13
2022,Santa Fe,21.54,48.55,22.69,4.98,2.24
2022,Santiago Del Estero,13.45,69.81,8.66,5.6,2.47
2022,Tierra Del Fuego,23.8,74.14,0.75,0.25,1.06
2022,Tucumán,31.72,11.39,55.14,1.56,0.2
2023,Buenos Aires,5.24,56.43,34.14,2.78,1.41
2023,Capital Federal,5.38,81.47,10.8,0.31,2.04
2023,Catamarca,9.7,14.8,72.76,1.89,0.85
2023,Chaco,12.33,42.0,38.17,5.76,1.74
2023,Chubut,19.61,44.61,11.59,18.16,6.03
2023,Corrientes,16.14,52.64,21.25,6.66,3.3
2023,Córdoba,11.88,42.55,38.81,5.81,0.94
2023,Entre Ríos,16.2,52.71,18.43,8.71,3.95
2023,Formosa,18.77,29.22,23.76,27.9,0.35
2023,Jujuy,11.33,43.4,40.75,3.46,1.06
2023,La Pampa,5.87,49.76,26.6,16.8,0.97
2023,La Rioja,4.54,63.27,24.82,7.33,0.04
2023,Mendoza,8.27,24.38,57.68,9.29,0.37
2023,Misiones,14.44,41.22,34.0,6.59,3.76
2023,Neuquén,15.83,44.97,22.78,14.82,1.61
2023,Río Negro,15.71,30.17,33.3,10.29,10.53
2023,Salta,14.6,47.66,28.63,5.93,3.18
2023,San Juan,21.02,19.53,30.31,22.19,6.95
2023,San Luis,3.33,28.91,13.32,54.21,0.24
2023,Santa Cruz,14.9,37.33,38.47,7.98,1.33
2023,Santa Fe,13.11,44.59,35.83,4.92,1.55
2023,Santiago Del Estero,8.3,66.89,16.6,5.77,2.43
2023,Tierra Del Fuego,18.58,76.94,3.51,0.27,0.7
2023,Tucumán,18.3,7.59,72.32,1.59,0.2
2024,Buenos Aires,4.29,54.57,37.07,2.78,1.3
2024,Capital Federal,4.18,78.23,14.63,0.3,2.65
2024,Catamarca,7.23,14.22,76.59,1.85,0.11
2024,Chaco,6.87,38.62,44.08,5.55,4.88
2024,Chubut,15.15,45.79,15.33,17.97,5.76
2024,Corrientes,10.57,54.66,24.83,6.59,3.35
2024,Córdoba,9.05,41.18,43.2,5.69,0.88
2024,Entre Ríos,11.49,53.68,22.8,8.11,3.91
2024,Formosa,14.03,29.76,29.35,26.48,0.37
2024,Jujuy,8.44,43.1,43.99,3.45,1.02
2024,La Pampa,5.55,47.93,29.65,15.97,0.9
2024,La Rioja,2.89,63.32,26.46,7.3,0.03
2024,Mendoza,5.85,22.77,61.94,9.14,0.31
2024,Misiones,10.78,37.64,41.28,6.93,3.37
2024,Neuquén,14.53,44.54,25.43,14.93,0.57
2024,Río Negro,12.13,28.99,39.21,10.44,9.23
2024,Salta,10.81,48.9,31.23,5.84,3.22
2024,San Juan,11.92,16.7,42.65,22.19,6.54
2024,San Luis,2.57,25.92,20.97,50.34,0.19
2024,Santa Cruz,9.49,17.46,60.54,11.7,0.81
2024,Santa Fe,9.46,42.97,41.33,4.78,1.46
2024,Santiago Del Estero,4.8,64.37,22.84,5.65,2.34
2024,Tierra Del Fuego,15.22,77.96,5.99,0.29,0.54
2024,Tucumán,11.6,7.75,78.97,1.49,0.19
